"dauer" "programmierer" "bugtyp" "codelines" "usecases" "alter"
120 "Eckkrammer" "GUI" 183000 49 35
174 "Meyer" "DB" 386000 86 44
188 "Meyer" "GUI" 467000 95 37
161 "Mandl" "GUI" 309000 70 35
157 "Eckkrammer" "Reporting" 305000 71 21
178 "Meyer" "Reporting" 243000 85 36
143 "Eckkrammer" "GUI" 361000 81 34
184 "Mandl" "Reporting" 228000 57 40
159 "Eckkrammer" "Reporting" 203000 61 29
178 "Mandl" "DB" 413000 77 32
157 "Eckkrammer" "DB" 365000 80 34
183 "Meyer" "GUI" 326000 74 42
152 "Eckkrammer" "Reporting" 305000 75 46
174 "Mandl" "GUI" 424000 83 31
189 "Mandl" "DB" 364000 73 25
176 "Mandl" "Reporting" 521000 97 22
174 "Meyer" "Reporting" 348000 73 47
177 "Mandl" "DB" 401000 89 39
176 "Meyer" "DB" 393000 81 36
159 "Eckkrammer" "DB" 399000 79 29
207 "Meyer" "GUI" 517000 91 39
